,t,rho00,rho01,rho10,rho11
353,3.5300000000000002,(0.9770000000000008+0j),0j,0j,(0.023+0j)
354,3.54,(0.9780000000000008+0j),0j,0j,(0.022000000000000013+0j)
355,3.5500000000000003,(0.9790000000000008+0j),0j,0j,(0.020999999999999998+0j)
356,3.56,(0.9790000000000008+0j),0j,0j,(0.02100000000000001+0j)
357,3.5700000000000003,(0.9790000000000008+0j),0j,0j,(0.020999999999999998+0j)
358,3.58,(0.9790000000000008+0j),0j,0j,(0.02100000000000001+0j)
359,3.59,(0.9800000000000008+0j),0j,0j,(0.019999999999999997+0j)
360,3.6,(0.9800000000000008+0j),0j,0j,(0.02000000000000001+0j)
361,3.61,(0.9800000000000008+0j),0j,0j,(0.019999999999999997+0j)
362,3.62,(0.9800000000000008+0j),0j,0j,(0.02000000000000001+0j)
363,3.63,(0.9800000000000008+0j),0j,0j,(0.019999999999999997+0j)
364,3.64,(0.9800000000000008+0j),0j,0j,(0.02000000000000001+0j)
365,3.65,(0.9800000000000008+0j),0j,0j,(0.019999999999999997+0j)
366,3.66,(0.9800000000000008+0j),0j,0j,(0.02000000000000001+0j)
367,3.67,(0.9800000000000008+0j),0j,0j,(0.019999999999999997+0j)
368,3.68,(0.9800000000000008+0j),0j,0j,(0.02000000000000001+0j)
369,3.69,(0.9800000000000008+0j),0j,0j,(0.019999999999999997+0j)
370,3.7,(0.9800000000000008+0j),0j,0j,(0.02000000000000001+0j)
371,3.71,(0.9800000000000008+0j),0j,0j,(0.019999999999999997+0j)
372,3.72,(0.9810000000000008+0j),0j,0j,(0.01900000000000001+0j)
373,3.73,(0.9810000000000008+0j),0j,0j,(0.018999999999999996+0j)
374,3.74,(0.9810000000000008+0j),0j,0j,(0.01900000000000001+0j)
375,3.75,(0.9810000000000008+0j),0j,0j,(0.018999999999999996+0j)
376,3.7600000000000002,(0.9810000000000008+0j),0j,0j,(0.01900000000000001+0j)
377,3.77,(0.9810000000000008+0j),0j,0j,(0.018999999999999996+0j)
378,3.7800000000000002,(0.9810000000000008+0j),0j,0j,(0.01900000000000001+0j)
379,3.79,(0.9810000000000008+0j),0j,0j,(0.018999999999999996+0j)
380,3.8000000000000003,(0.9810000000000008+0j),0j,0j,(0.01900000000000001+0j)
381,3.81,(0.9820000000000008+0j),0j,0j,(0.017999999999999995+0j)
382,3.8200000000000003,(0.9840000000000008+0j),0j,0j,(0.016000000000000007+0j)
383,3.83,(0.9840000000000008+0j),0j,0j,(0.015999999999999993+0j)
384,3.84,(0.9840000000000008+0j),0j,0j,(0.016000000000000007+0j)
385,3.85,(0.9840000000000008+0j),0j,0j,(0.015999999999999993+0j)
386,3.86,(0.9840000000000008+0j),0j,0j,(0.016000000000000007+0j)
387,3.87,(0.9840000000000008+0j),0j,0j,(0.015999999999999993+0j)
388,3.88,(0.9840000000000008+0j),0j,0j,(0.016000000000000007+0j)
389,3.89,(0.9840000000000008+0j),0j,0j,(0.015999999999999993+0j)
390,3.9,(0.9840000000000008+0j),0j,0j,(0.016000000000000007+0j)
391,3.91,(0.9850000000000008+0j),0j,0j,(0.014999999999999993+0j)
392,3.92,(0.9870000000000008+0j),0j,0j,(0.013000000000000005+0j)
393,3.93,(0.9870000000000008+0j),0j,0j,(0.012999999999999994+0j)
394,3.94,(0.9870000000000008+0j),0j,0j,(0.013000000000000005+0j)
395,3.95,(0.9870000000000008+0j),0j,0j,(0.012999999999999994+0j)
396,3.96,(0.9870000000000008+0j),0j,0j,(0.013000000000000005+0j)
397,3.97,(0.9870000000000008+0j),0j,0j,(0.012999999999999994+0j)
398,3.98,(0.9870000000000008+0j),0j,0j,(0.013000000000000005+0j)
399,3.99,(0.9870000000000008+0j),0j,0j,(0.012999999999999994+0j)
400,4.0,(0.9870000000000008+0j),0j,0j,(0.013000000000000005+0j)
401,4.01,(0.9870000000000008+0j),0j,0j,(0.012999999999999994+0j)
402,4.0200000000000005,(0.9870000000000008+0j),0j,0j,(0.013000000000000005+0j)
403,4.03,(0.9870000000000008+0j),0j,0j,(0.012999999999999994+0j)
404,4.04,(0.9870000000000008+0j),0j,0j,(0.013000000000000005+0j)
405,4.05,(0.9870000000000008+0j),0j,0j,(0.012999999999999994+0j)
406,4.0600000000000005,(0.9870000000000008+0j),0j,0j,(0.013000000000000005+0j)
407,4.07,(0.9880000000000008+0j),0j,0j,(0.011999999999999995+0j)
408,4.08,(0.9880000000000008+0j),0j,0j,(0.012000000000000004+0j)
409,4.09,(0.9880000000000008+0j),0j,0j,(0.011999999999999995+0j)
410,4.1,(0.9880000000000008+0j),0j,0j,(0.012000000000000004+0j)
411,4.11,(0.9880000000000008+0j),0j,0j,(0.011999999999999995+0j)
412,4.12,(0.9880000000000008+0j),0j,0j,(0.012000000000000004+0j)
413,4.13,(0.9880000000000008+0j),0j,0j,(0.011999999999999995+0j)
414,4.14,(0.9880000000000008+0j),0j,0j,(0.012000000000000004+0j)
415,4.15,(0.9880000000000008+0j),0j,0j,(0.011999999999999995+0j)
416,4.16,(0.9880000000000008+0j),0j,0j,(0.012000000000000004+0j)
417,4.17,(0.9880000000000008+0j),0j,0j,(0.011999999999999995+0j)
418,4.18,(0.9880000000000008+0j),0j,0j,(0.012000000000000004+0j)
419,4.19,(0.9880000000000008+0j),0j,0j,(0.011999999999999995+0j)
420,4.2,(0.9880000000000008+0j),0j,0j,(0.012000000000000004+0j)
421,4.21,(0.9880000000000008+0j),0j,0j,(0.011999999999999995+0j)
422,4.22,(0.9880000000000008+0j),0j,0j,(0.012000000000000004+0j)
423,4.23,(0.9880000000000008+0j),0j,0j,(0.011999999999999995+0j)
424,4.24,(0.9880000000000008+0j),0j,0j,(0.012000000000000004+0j)
425,4.25,(0.9880000000000008+0j),0j,0j,(0.011999999999999995+0j)
426,4.26,(0.9880000000000008+0j),0j,0j,(0.012000000000000004+0j)
427,4.2700000000000005,(0.9880000000000008+0j),0j,0j,(0.011999999999999995+0j)
428,4.28,(0.9880000000000008+0j),0j,0j,(0.012000000000000004+0j)
429,4.29,(0.9880000000000008+0j),0j,0j,(0.011999999999999995+0j)
430,4.3,(0.9880000000000008+0j),0j,0j,(0.012000000000000004+0j)
431,4.3100000000000005,(0.9880000000000008+0j),0j,0j,(0.011999999999999995+0j)
432,4.32,(0.9880000000000008+0j),0j,0j,(0.012000000000000004+0j)
433,4.33,(0.9890000000000008+0j),0j,0j,(0.010999999999999996+0j)
434,4.34,(0.9890000000000008+0j),0j,0j,(0.011000000000000003+0j)
435,4.3500000000000005,(0.9890000000000008+0j),0j,0j,(0.010999999999999996+0j)
436,4.36,(0.9890000000000008+0j),0j,0j,(0.011000000000000003+0j)
437,4.37,(0.9890000000000008+0j),0j,0j,(0.010999999999999996+0j)
438,4.38,(0.9890000000000008+0j),0j,0j,(0.011000000000000003+0j)
439,4.39,(0.9890000000000008+0j),0j,0j,(0.010999999999999996+0j)
440,4.4,(0.9890000000000008+0j),0j,0j,(0.011000000000000003+0j)
441,4.41,(0.9890000000000008+0j),0j,0j,(0.010999999999999996+0j)
442,4.42,(0.9890000000000008+0j),0j,0j,(0.011000000000000003+0j)
443,4.43,(0.9890000000000008+0j),0j,0j,(0.010999999999999996+0j)
444,4.44,(0.9900000000000008+0j),0j,0j,(0.010000000000000002+0j)
445,4.45,(0.9900000000000008+0j),0j,0j,(0.009999999999999997+0j)
446,4.46,(0.9900000000000008+0j),0j,0j,(0.010000000000000002+0j)
447,4.47,(0.9900000000000008+0j),0j,0j,(0.009999999999999997+0j)
448,4.48,(0.9900000000000008+0j),0j,0j,(0.010000000000000002+0j)
449,4.49,(0.9900000000000008+0j),0j,0j,(0.009999999999999997+0j)
450,4.5,(0.9900000000000008+0j),0j,0j,(0.010000000000000002+0j)
451,4.51,(0.9900000000000008+0j),0j,0j,(0.009999999999999997+0j)
452,4.5200000000000005,(0.9900000000000008+0j),0j,0j,(0.010000000000000002+0j)
453,4.53,(0.9900000000000008+0j),0j,0j,(0.009999999999999997+0j)
454,4.54,(0.9910000000000008+0j),0j,0j,(0.009000000000000001+0j)
455,4.55,(0.9910000000000008+0j),0j,0j,(0.008999999999999998+0j)
456,4.5600000000000005,(0.9910000000000008+0j),0j,0j,(0.009000000000000001+0j)
457,4.57,(0.9910000000000008+0j),0j,0j,(0.008999999999999998+0j)
458,4.58,(0.9910000000000008+0j),0j,0j,(0.009000000000000001+0j)
459,4.59,(0.9910000000000008+0j),0j,0j,(0.008999999999999998+0j)
460,4.6000000000000005,(0.9910000000000008+0j),0j,0j,(0.009000000000000001+0j)
461,4.61,(0.9910000000000008+0j),0j,0j,(0.008999999999999998+0j)
462,4.62,(0.9910000000000008+0j),0j,0j,(0.009000000000000001+0j)
463,4.63,(0.9910000000000008+0j),0j,0j,(0.008999999999999998+0j)
464,4.64,(0.9910000000000008+0j),0j,0j,(0.009000000000000001+0j)
465,4.65,(0.9910000000000008+0j),0j,0j,(0.008999999999999998+0j)
466,4.66,(0.9910000000000008+0j),0j,0j,(0.009000000000000001+0j)
467,4.67,(0.9910000000000008+0j),0j,0j,(0.008999999999999998+0j)
468,4.68,(0.9910000000000008+0j),0j,0j,(0.009000000000000001+0j)
469,4.69,(0.9910000000000008+0j),0j,0j,(0.008999999999999998+0j)
470,4.7,(0.9910000000000008+0j),0j,0j,(0.009000000000000001+0j)
471,4.71,(0.9910000000000008+0j),0j,0j,(0.008999999999999998+0j)
472,4.72,(0.9910000000000008+0j),0j,0j,(0.009000000000000001+0j)
473,4.73,(0.9910000000000008+0j),0j,0j,(0.008999999999999998+0j)
474,4.74,(0.9910000000000008+0j),0j,0j,(0.009000000000000001+0j)
475,4.75,(0.9910000000000008+0j),0j,0j,(0.008999999999999998+0j)
476,4.76,(0.9920000000000008+0j),0j,0j,(0.008+0j)
477,4.7700000000000005,(0.9920000000000008+0j),0j,0j,(0.007999999999999998+0j)
478,4.78,(0.9930000000000008+0j),0j,0j,(0.007+0j)
479,4.79,(0.9930000000000008+0j),0j,0j,(0.006999999999999999+0j)
480,4.8,(0.9930000000000008+0j),0j,0j,(0.007+0j)
481,4.8100000000000005,(0.9930000000000008+0j),0j,0j,(0.006999999999999999+0j)
482,4.82,(0.9930000000000008+0j),0j,0j,(0.007+0j)
483,4.83,(0.9930000000000008+0j),0j,0j,(0.006999999999999999+0j)
484,4.84,(0.9930000000000008+0j),0j,0j,(0.007+0j)
485,4.8500000000000005,(0.9930000000000008+0j),0j,0j,(0.006999999999999999+0j)
486,4.86,(0.9930000000000008+0j),0j,0j,(0.007+0j)
487,4.87,(0.9930000000000008+0j),0j,0j,(0.006999999999999999+0j)
488,4.88,(0.9930000000000008+0j),0j,0j,(0.007+0j)
489,4.89,(0.9930000000000008+0j),0j,0j,(0.006999999999999999+0j)
490,4.9,(0.9930000000000008+0j),0j,0j,(0.007+0j)
491,4.91,(0.9930000000000008+0j),0j,0j,(0.006999999999999999+0j)
492,4.92,(0.9930000000000008+0j),0j,0j,(0.007+0j)
493,4.93,(0.9930000000000008+0j),0j,0j,(0.006999999999999999+0j)
494,4.94,(0.9930000000000008+0j),0j,0j,(0.007+0j)
495,4.95,(0.9930000000000008+0j),0j,0j,(0.006999999999999999+0j)
496,4.96,(0.9930000000000008+0j),0j,0j,(0.007+0j)
497,4.97,(0.9930000000000008+0j),0j,0j,(0.006999999999999999+0j)
498,4.98,(0.9930000000000008+0j),0j,0j,(0.007+0j)
499,4.99,(0.9940000000000008+0j),0j,0j,(0.005999999999999999+0j)
500,5.0,(0.9940000000000008+0j),0j,0j,(0.006+0j)
501,5.01,(0.9940000000000008+0j),0j,0j,(0.005999999999999999+0j)
502,5.0200000000000005,(0.9940000000000008+0j),0j,0j,(0.006+0j)
503,5.03,(0.9940000000000008+0j),0j,0j,(0.005999999999999999+0j)
504,5.04,(0.9940000000000008+0j),0j,0j,(0.006+0j)
505,5.05,(0.9940000000000008+0j),0j,0j,(0.005999999999999999+0j)
506,5.0600000000000005,(0.9940000000000008+0j),0j,0j,(0.006+0j)
507,5.07,(0.9940000000000008+0j),0j,0j,(0.005999999999999999+0j)
508,5.08,(0.9950000000000008+0j),0j,0j,(0.005+0j)
509,5.09,(0.9950000000000008+0j),0j,0j,(0.004999999999999999+0j)
510,5.1000000000000005,(0.9950000000000008+0j),0j,0j,(0.005+0j)
511,5.11,(0.9950000000000008+0j),0j,0j,(0.004999999999999999+0j)
512,5.12,(0.9950000000000008+0j),0j,0j,(0.005+0j)
513,5.13,(0.9950000000000008+0j),0j,0j,(0.004999999999999999+0j)
514,5.14,(0.9950000000000008+0j),0j,0j,(0.005+0j)
515,5.15,(0.9950000000000008+0j),0j,0j,(0.004999999999999999+0j)
516,5.16,(0.9950000000000008+0j),0j,0j,(0.005+0j)
517,5.17,(0.9950000000000008+0j),0j,0j,(0.004999999999999999+0j)
518,5.18,(0.9950000000000008+0j),0j,0j,(0.005+0j)
519,5.19,(0.9950000000000008+0j),0j,0j,(0.004999999999999999+0j)
520,5.2,(0.9950000000000008+0j),0j,0j,(0.005+0j)
521,5.21,(0.9950000000000008+0j),0j,0j,(0.004999999999999999+0j)
522,5.22,(0.9950000000000008+0j),0j,0j,(0.005+0j)
523,5.23,(0.9950000000000008+0j),0j,0j,(0.004999999999999999+0j)
524,5.24,(0.9960000000000008+0j),0j,0j,(0.004+0j)
525,5.25,(0.9960000000000008+0j),0j,0j,(0.003999999999999999+0j)
526,5.26,(0.9960000000000008+0j),0j,0j,(0.004+0j)
527,5.2700000000000005,(0.9960000000000008+0j),0j,0j,(0.003999999999999999+0j)
528,5.28,(0.9960000000000008+0j),0j,0j,(0.004+0j)
529,5.29,(0.9960000000000008+0j),0j,0j,(0.003999999999999999+0j)
530,5.3,(0.9960000000000008+0j),0j,0j,(0.004+0j)
531,5.3100000000000005,(0.9960000000000008+0j),0j,0j,(0.003999999999999999+0j)
532,5.32,(0.9960000000000008+0j),0j,0j,(0.004+0j)
533,5.33,(0.9960000000000008+0j),0j,0j,(0.003999999999999999+0j)
534,5.34,(0.9960000000000008+0j),0j,0j,(0.004+0j)
535,5.3500000000000005,(0.9960000000000008+0j),0j,0j,(0.003999999999999999+0j)
536,5.36,(0.9960000000000008+0j),0j,0j,(0.004+0j)
537,5.37,(0.9960000000000008+0j),0j,0j,(0.003999999999999999+0j)
538,5.38,(0.9960000000000008+0j),0j,0j,(0.004+0j)
539,5.39,(0.9960000000000008+0j),0j,0j,(0.003999999999999999+0j)
540,5.4,(0.9960000000000008+0j),0j,0j,(0.004+0j)
541,5.41,(0.9960000000000008+0j),0j,0j,(0.003999999999999999+0j)
542,5.42,(0.9960000000000008+0j),0j,0j,(0.004+0j)
543,5.43,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
544,5.44,(0.9970000000000008+0j),0j,0j,(0.003+0j)
545,5.45,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
546,5.46,(0.9970000000000008+0j),0j,0j,(0.003+0j)
547,5.47,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
548,5.48,(0.9970000000000008+0j),0j,0j,(0.003+0j)
549,5.49,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
550,5.5,(0.9970000000000008+0j),0j,0j,(0.003+0j)
551,5.51,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
552,5.5200000000000005,(0.9970000000000008+0j),0j,0j,(0.003+0j)
553,5.53,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
554,5.54,(0.9970000000000008+0j),0j,0j,(0.003+0j)
555,5.55,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
556,5.5600000000000005,(0.9970000000000008+0j),0j,0j,(0.003+0j)
557,5.57,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
558,5.58,(0.9970000000000008+0j),0j,0j,(0.003+0j)
559,5.59,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
560,5.6000000000000005,(0.9970000000000008+0j),0j,0j,(0.003+0j)
561,5.61,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
562,5.62,(0.9970000000000008+0j),0j,0j,(0.003+0j)
563,5.63,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
564,5.64,(0.9970000000000008+0j),0j,0j,(0.003+0j)
565,5.65,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
566,5.66,(0.9970000000000008+0j),0j,0j,(0.003+0j)
567,5.67,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
568,5.68,(0.9970000000000008+0j),0j,0j,(0.003+0j)
569,5.69,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
570,5.7,(0.9970000000000008+0j),0j,0j,(0.003+0j)
571,5.71,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
572,5.72,(0.9970000000000008+0j),0j,0j,(0.003+0j)
573,5.73,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
574,5.74,(0.9970000000000008+0j),0j,0j,(0.003+0j)
575,5.75,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
576,5.76,(0.9970000000000008+0j),0j,0j,(0.003+0j)
577,5.7700000000000005,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
578,5.78,(0.9970000000000008+0j),0j,0j,(0.003+0j)
579,5.79,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
580,5.8,(0.9970000000000008+0j),0j,0j,(0.003+0j)
581,5.8100000000000005,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
582,5.82,(0.9970000000000008+0j),0j,0j,(0.003+0j)
583,5.83,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
584,5.84,(0.9970000000000008+0j),0j,0j,(0.003+0j)
585,5.8500000000000005,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
586,5.86,(0.9970000000000008+0j),0j,0j,(0.003+0j)
587,5.87,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
588,5.88,(0.9970000000000008+0j),0j,0j,(0.003+0j)
589,5.89,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
590,5.9,(0.9970000000000008+0j),0j,0j,(0.003+0j)
591,5.91,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
592,5.92,(0.9970000000000008+0j),0j,0j,(0.003+0j)
593,5.93,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
594,5.94,(0.9970000000000008+0j),0j,0j,(0.003+0j)
595,5.95,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
596,5.96,(0.9970000000000008+0j),0j,0j,(0.003+0j)
597,5.97,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
598,5.98,(0.9970000000000008+0j),0j,0j,(0.003+0j)
599,5.99,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
600,6.0,(0.9970000000000008+0j),0j,0j,(0.003+0j)
601,6.01,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
602,6.0200000000000005,(0.9970000000000008+0j),0j,0j,(0.003+0j)
603,6.03,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
604,6.04,(0.9970000000000008+0j),0j,0j,(0.003+0j)
605,6.05,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
606,6.0600000000000005,(0.9970000000000008+0j),0j,0j,(0.003+0j)
607,6.07,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
608,6.08,(0.9970000000000008+0j),0j,0j,(0.003+0j)
609,6.09,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
610,6.1000000000000005,(0.9970000000000008+0j),0j,0j,(0.003+0j)
611,6.11,(0.9970000000000008+0j),0j,0j,(0.002999999999999999+0j)
612,6.12,(0.9970000000000008+0j),0j,0j,(0.003+0j)
613,6.13,(0.9980000000000008+0j),0j,0j,(0.0019999999999999996+0j)
614,6.140000000000001,(0.9980000000000008+0j),0j,0j,(0.002+0j)
615,6.15,(0.9980000000000008+0j),0j,0j,(0.0019999999999999996+0j)
616,6.16,(0.9980000000000008+0j),0j,0j,(0.002+0j)
617,6.17,(0.9980000000000008+0j),0j,0j,(0.0019999999999999996+0j)
618,6.18,(0.9980000000000008+0j),0j,0j,(0.002+0j)
619,6.19,(0.9980000000000008+0j),0j,0j,(0.0019999999999999996+0j)
620,6.2,(0.9980000000000008+0j),0j,0j,(0.002+0j)
621,6.21,(0.9980000000000008+0j),0j,0j,(0.0019999999999999996+0j)
622,6.22,(0.9980000000000008+0j),0j,0j,(0.002+0j)
623,6.23,(0.9980000000000008+0j),0j,0j,(0.0019999999999999996+0j)
624,6.24,(0.9980000000000008+0j),0j,0j,(0.002+0j)
625,6.25,(0.9980000000000008+0j),0j,0j,(0.0019999999999999996+0j)
626,6.26,(0.9980000000000008+0j),0j,0j,(0.002+0j)
627,6.2700000000000005,(0.9980000000000008+0j),0j,0j,(0.0019999999999999996+0j)
628,6.28,(0.9980000000000008+0j),0j,0j,(0.002+0j)
629,6.29,(0.9980000000000008+0j),0j,0j,(0.0019999999999999996+0j)
630,6.3,(0.9980000000000008+0j),0j,0j,(0.002+0j)
631,6.3100000000000005,(0.9980000000000008+0j),0j,0j,(0.0019999999999999996+0j)
632,6.32,(0.9980000000000008+0j),0j,0j,(0.002+0j)
633,6.33,(0.9980000000000008+0j),0j,0j,(0.0019999999999999996+0j)
634,6.34,(0.9980000000000008+0j),0j,0j,(0.002+0j)
635,6.3500000000000005,(0.9980000000000008+0j),0j,0j,(0.0019999999999999996+0j)
636,6.36,(0.9980000000000008+0j),0j,0j,(0.002+0j)
637,6.37,(0.9980000000000008+0j),0j,0j,(0.0019999999999999996+0j)
638,6.38,(0.9980000000000008+0j),0j,0j,(0.002+0j)
639,6.390000000000001,(0.9980000000000008+0j),0j,0j,(0.0019999999999999996+0j)
640,6.4,(0.9980000000000008+0j),0j,0j,(0.002+0j)
641,6.41,(0.9980000000000008+0j),0j,0j,(0.0019999999999999996+0j)
642,6.42,(0.9990000000000008+0j),0j,0j,(0.001+0j)
643,6.43,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
644,6.44,(0.9990000000000008+0j),0j,0j,(0.001+0j)
645,6.45,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
646,6.46,(0.9990000000000008+0j),0j,0j,(0.001+0j)
647,6.47,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
648,6.48,(0.9990000000000008+0j),0j,0j,(0.001+0j)
649,6.49,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
650,6.5,(0.9990000000000008+0j),0j,0j,(0.001+0j)
651,6.51,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
652,6.5200000000000005,(0.9990000000000008+0j),0j,0j,(0.001+0j)
653,6.53,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
654,6.54,(0.9990000000000008+0j),0j,0j,(0.001+0j)
655,6.55,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
656,6.5600000000000005,(0.9990000000000008+0j),0j,0j,(0.001+0j)
657,6.57,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
658,6.58,(0.9990000000000008+0j),0j,0j,(0.001+0j)
659,6.59,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
660,6.6000000000000005,(0.9990000000000008+0j),0j,0j,(0.001+0j)
661,6.61,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
662,6.62,(0.9990000000000008+0j),0j,0j,(0.001+0j)
663,6.63,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
664,6.640000000000001,(0.9990000000000008+0j),0j,0j,(0.001+0j)
665,6.65,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
666,6.66,(0.9990000000000008+0j),0j,0j,(0.001+0j)
667,6.67,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
668,6.68,(0.9990000000000008+0j),0j,0j,(0.001+0j)
669,6.69,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
670,6.7,(0.9990000000000008+0j),0j,0j,(0.001+0j)
671,6.71,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
672,6.72,(0.9990000000000008+0j),0j,0j,(0.001+0j)
673,6.73,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
674,6.74,(0.9990000000000008+0j),0j,0j,(0.001+0j)
675,6.75,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
676,6.76,(0.9990000000000008+0j),0j,0j,(0.001+0j)
677,6.7700000000000005,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
678,6.78,(0.9990000000000008+0j),0j,0j,(0.001+0j)
679,6.79,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
680,6.8,(0.9990000000000008+0j),0j,0j,(0.001+0j)
681,6.8100000000000005,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
682,6.82,(0.9990000000000008+0j),0j,0j,(0.001+0j)
683,6.83,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
684,6.84,(0.9990000000000008+0j),0j,0j,(0.001+0j)
685,6.8500000000000005,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
686,6.86,(0.9990000000000008+0j),0j,0j,(0.001+0j)
687,6.87,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
688,6.88,(0.9990000000000008+0j),0j,0j,(0.001+0j)
689,6.890000000000001,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
690,6.9,(0.9990000000000008+0j),0j,0j,(0.001+0j)
691,6.91,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
692,6.92,(0.9990000000000008+0j),0j,0j,(0.001+0j)
693,6.93,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
694,6.94,(0.9990000000000008+0j),0j,0j,(0.001+0j)
695,6.95,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
696,6.96,(0.9990000000000008+0j),0j,0j,(0.001+0j)
697,6.97,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
698,6.98,(0.9990000000000008+0j),0j,0j,(0.001+0j)
699,6.99,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
700,7.0,(0.9990000000000008+0j),0j,0j,(0.001+0j)
701,7.01,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
702,7.0200000000000005,(0.9990000000000008+0j),0j,0j,(0.001+0j)
703,7.03,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
704,7.04,(0.9990000000000008+0j),0j,0j,(0.001+0j)
705,7.05,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
706,7.0600000000000005,(0.9990000000000008+0j),0j,0j,(0.001+0j)
707,7.07,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
708,7.08,(0.9990000000000008+0j),0j,0j,(0.001+0j)
709,7.09,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
710,7.1000000000000005,(0.9990000000000008+0j),0j,0j,(0.001+0j)
711,7.11,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
712,7.12,(0.9990000000000008+0j),0j,0j,(0.001+0j)
713,7.13,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
714,7.140000000000001,(0.9990000000000008+0j),0j,0j,(0.001+0j)
715,7.15,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
716,7.16,(0.9990000000000008+0j),0j,0j,(0.001+0j)
717,7.17,(0.9990000000000008+0j),0j,0j,(0.0009999999999999998+0j)
718,7.18,(0.9990000000000008+0j),0j,0j,(0.001+0j)
