,t,rho00,rho01,rho10,rho11
81,0.81,(0.5670000000000004+0j),0j,0j,(0.43300000000000033+0j)
82,0.8200000000000001,(0.5720000000000004+0j),0j,0j,(0.4280000000000003+0j)
83,0.8300000000000001,(0.5780000000000004+0j),0j,0j,(0.4220000000000003+0j)
84,0.84,(0.5810000000000004+0j),0j,0j,(0.4190000000000003+0j)
85,0.85,(0.5840000000000004+0j),0j,0j,(0.4160000000000003+0j)
86,0.86,(0.5900000000000004+0j),0j,0j,(0.4100000000000003+0j)
87,0.87,(0.5940000000000004+0j),0j,0j,(0.4060000000000003+0j)
88,0.88,(0.6010000000000004+0j),0j,0j,(0.3990000000000003+0j)
89,0.89,(0.6040000000000004+0j),0j,0j,(0.3960000000000003+0j)
90,0.9,(0.6060000000000004+0j),0j,0j,(0.3940000000000003+0j)
91,0.91,(0.6090000000000004+0j),0j,0j,(0.3910000000000003+0j)
92,0.92,(0.6120000000000004+0j),0j,0j,(0.3880000000000003+0j)
93,0.93,(0.6170000000000004+0j),0j,0j,(0.3830000000000003+0j)
94,0.9400000000000001,(0.6200000000000004+0j),0j,0j,(0.3800000000000003+0j)
95,0.9500000000000001,(0.6210000000000004+0j),0j,0j,(0.3790000000000003+0j)
96,0.96,(0.6250000000000004+0j),0j,0j,(0.3750000000000003+0j)
97,0.97,(0.6290000000000004+0j),0j,0j,(0.3710000000000003+0j)
98,0.98,(0.6370000000000005+0j),0j,0j,(0.36300000000000027+0j)
99,0.99,(0.6390000000000005+0j),0j,0j,(0.36100000000000027+0j)
100,1.0,(0.6410000000000005+0j),0j,0j,(0.35900000000000026+0j)
101,1.01,(0.6430000000000005+0j),0j,0j,(0.35700000000000026+0j)
102,1.02,(0.6500000000000005+0j),0j,0j,(0.35000000000000026+0j)
103,1.03,(0.6520000000000005+0j),0j,0j,(0.34800000000000025+0j)
104,1.04,(0.6560000000000005+0j),0j,0j,(0.34400000000000025+0j)
105,1.05,(0.6630000000000005+0j),0j,0j,(0.33700000000000024+0j)
106,1.06,(0.6660000000000005+0j),0j,0j,(0.33400000000000024+0j)
107,1.07,(0.6730000000000005+0j),0j,0j,(0.32700000000000023+0j)
108,1.08,(0.6770000000000005+0j),0j,0j,(0.32300000000000023+0j)
109,1.09,(0.6770000000000005+0j),0j,0j,(0.32300000000000023+0j)
110,1.1,(0.6800000000000005+0j),0j,0j,(0.32000000000000023+0j)
111,1.11,(0.6820000000000005+0j),0j,0j,(0.3180000000000002+0j)
112,1.12,(0.6840000000000005+0j),0j,0j,(0.3160000000000002+0j)
113,1.1300000000000001,(0.6840000000000005+0j),0j,0j,(0.3160000000000002+0j)
114,1.1400000000000001,(0.6880000000000005+0j),0j,0j,(0.3120000000000002+0j)
115,1.1500000000000001,(0.6910000000000005+0j),0j,0j,(0.3090000000000002+0j)
116,1.16,(0.6930000000000005+0j),0j,0j,(0.3070000000000002+0j)
117,1.17,(0.6970000000000005+0j),0j,0j,(0.3030000000000002+0j)
118,1.18,(0.7010000000000005+0j),0j,0j,(0.2990000000000002+0j)
119,1.19,(0.7030000000000005+0j),0j,0j,(0.2970000000000002+0j)
120,1.2,(0.7040000000000005+0j),0j,0j,(0.2960000000000002+0j)
121,1.21,(0.7070000000000005+0j),0j,0j,(0.2930000000000002+0j)
122,1.22,(0.7100000000000005+0j),0j,0j,(0.2900000000000002+0j)
123,1.23,(0.7130000000000005+0j),0j,0j,(0.2870000000000002+0j)
124,1.24,(0.7140000000000005+0j),0j,0j,(0.2860000000000002+0j)
125,1.25,(0.7140000000000005+0j),0j,0j,(0.2860000000000002+0j)
126,1.26,(0.7160000000000005+0j),0j,0j,(0.2840000000000002+0j)
127,1.27,(0.7160000000000005+0j),0j,0j,(0.2840000000000002+0j)
128,1.28,(0.7170000000000005+0j),0j,0j,(0.2830000000000002+0j)
129,1.29,(0.7180000000000005+0j),0j,0j,(0.2820000000000002+0j)
130,1.3,(0.7190000000000005+0j),0j,0j,(0.2810000000000002+0j)
131,1.31,(0.7220000000000005+0j),0j,0j,(0.2780000000000002+0j)
132,1.32,(0.7240000000000005+0j),0j,0j,(0.2760000000000002+0j)
133,1.33,(0.7260000000000005+0j),0j,0j,(0.2740000000000002+0j)
134,1.34,(0.7290000000000005+0j),0j,0j,(0.2710000000000002+0j)
135,1.35,(0.7310000000000005+0j),0j,0j,(0.2690000000000002+0j)
136,1.36,(0.7320000000000005+0j),0j,0j,(0.2680000000000002+0j)
137,1.37,(0.7320000000000005+0j),0j,0j,(0.2680000000000002+0j)
138,1.3800000000000001,(0.7350000000000005+0j),0j,0j,(0.2650000000000002+0j)
139,1.3900000000000001,(0.7360000000000005+0j),0j,0j,(0.2640000000000002+0j)
140,1.4000000000000001,(0.7410000000000005+0j),0j,0j,(0.2590000000000002+0j)
141,1.41,(0.7420000000000005+0j),0j,0j,(0.2580000000000002+0j)
142,1.42,(0.7440000000000005+0j),0j,0j,(0.25600000000000017+0j)
143,1.43,(0.7470000000000006+0j),0j,0j,(0.25300000000000017+0j)
144,1.44,(0.7480000000000006+0j),0j,0j,(0.25200000000000017+0j)
145,1.45,(0.7500000000000006+0j),0j,0j,(0.25000000000000017+0j)
146,1.46,(0.7530000000000006+0j),0j,0j,(0.2470000000000002+0j)
147,1.47,(0.7570000000000006+0j),0j,0j,(0.2430000000000002+0j)
148,1.48,(0.7610000000000006+0j),0j,0j,(0.23900000000000018+0j)
149,1.49,(0.7630000000000006+0j),0j,0j,(0.23700000000000018+0j)
150,1.5,(0.7640000000000006+0j),0j,0j,(0.23600000000000018+0j)
151,1.51,(0.7650000000000006+0j),0j,0j,(0.23500000000000018+0j)
152,1.52,(0.7650000000000006+0j),0j,0j,(0.23500000000000018+0j)
153,1.53,(0.7690000000000006+0j),0j,0j,(0.23100000000000018+0j)
154,1.54,(0.7700000000000006+0j),0j,0j,(0.23000000000000018+0j)
155,1.55,(0.7720000000000006+0j),0j,0j,(0.22800000000000017+0j)
156,1.56,(0.7750000000000006+0j),0j,0j,(0.22500000000000017+0j)
157,1.57,(0.7770000000000006+0j),0j,0j,(0.22300000000000017+0j)
158,1.58,(0.7810000000000006+0j),0j,0j,(0.21900000000000017+0j)
159,1.59,(0.7860000000000006+0j),0j,0j,(0.21400000000000016+0j)
160,1.6,(0.7870000000000006+0j),0j,0j,(0.21300000000000016+0j)
161,1.61,(0.7900000000000006+0j),0j,0j,(0.21000000000000016+0j)
162,1.62,(0.7930000000000006+0j),0j,0j,(0.20700000000000016+0j)
163,1.6300000000000001,(0.7940000000000006+0j),0j,0j,(0.20600000000000016+0j)
164,1.6400000000000001,(0.7960000000000006+0j),0j,0j,(0.20400000000000015+0j)
165,1.6500000000000001,(0.7980000000000006+0j),0j,0j,(0.20200000000000015+0j)
166,1.6600000000000001,(0.8000000000000006+0j),0j,0j,(0.20000000000000015+0j)
167,1.67,(0.8020000000000006+0j),0j,0j,(0.19800000000000015+0j)
168,1.68,(0.8040000000000006+0j),0j,0j,(0.19600000000000015+0j)
169,1.69,(0.8050000000000006+0j),0j,0j,(0.19500000000000015+0j)
170,1.7,(0.8060000000000006+0j),0j,0j,(0.19400000000000014+0j)
171,1.71,(0.8070000000000006+0j),0j,0j,(0.19300000000000014+0j)
172,1.72,(0.8090000000000006+0j),0j,0j,(0.19100000000000014+0j)
173,1.73,(0.8110000000000006+0j),0j,0j,(0.18900000000000014+0j)
